,make_model,price,km,Gears,age,hp_kW
224,Audi A1,16530,36625.0,7.0,3.0,85.0
225,Audi A1,16500,25000.0,7.0,3.0,92.0
226,Audi A1,16500,36041.0,7.0,2.0,85.0
227,Audi A1,16500,36500.0,7.0,3.0,85.0
228,Audi A1,16500,25000.0,7.0,3.0,92.0
229,Audi A1,16500,66000.0,7.0,3.0,85.0
230,Audi A1,16490,90000.0,7.0,3.0,67.0
231,Audi A1,16490,14000.0,7.0,3.0,70.0
232,Audi A1,16490,16081.0,7.0,3.0,70.0
233,Audi A1,16480,32863.0,6.0,3.0,92.0
234,Audi A1,16480,54889.0,7.0,3.0,70.0
235,Audi A1,16450,18392.0,7.0,3.0,70.0
236,Audi A1,16480,40800.0,7.0,3.0,92.0
237,Audi A1,16480,60490.0,7.0,3.0,66.0
238,Audi A1,16444,33142.0,7.0,3.0,70.0
239,Audi A1,16430,40500.0,6.0,3.0,92.0
240,Audi A1,16443,13819.0,7.0,3.0,92.0
241,Audi A1,17300,18800.0,7.0,3.0,66.0
242,Audi A1,17240,40550.0,7.0,3.0,92.0
243,Audi A1,17150,25000.0,7.0,3.0,70.0
244,Audi A1,17000,46000.0,7.0,2.0,85.0
245,Audi A1,16999,31987.0,7.0,2.0,85.0
246,Audi A1,16999,52800.0,7.0,3.0,110.0
247,Audi A1,16995,57178.0,7.0,3.0,67.0
248,Audi A1,16990,36500.0,7.0,2.0,85.0
249,Audi A1,16990,14000.0,7.0,2.0,70.0
250,Audi A1,16980,59500.0,7.0,3.0,92.0
251,Audi A1,16970,26861.0,7.0,3.0,85.0
252,Audi A1,16950,13200.0,7.0,1.0,70.0
253,Audi A1,16975,19177.0,7.0,2.0,70.0
254,Audi A1,16950,19044.0,7.0,2.0,70.0
255,Audi A1,16930,40500.0,7.0,3.0,70.0
256,Audi A1,16900,33000.0,7.0,2.0,66.0
257,Audi A1,16900,21000.0,7.0,2.0,66.0
258,Audi A1,16900,58033.0,7.0,3.0,85.0
259,Audi A1,16900,32000.0,7.0,2.0,85.0
260,Audi A1,17890,12500.0,7.0,3.0,70.0
261,Audi A1,17890,36530.0,7.0,2.0,66.0
262,Audi A1,17880,5991.0,7.0,1.0,70.0
263,Audi A1,17880,33306.0,7.0,2.0,70.0
264,Audi A1,17850,52896.0,7.0,3.0,92.0
265,Audi A1,17750,32000.0,7.0,2.0,85.0
266,Audi A1,17820,9998.0,7.0,2.0,92.0
267,Audi A1,17790,49198.0,7.0,3.0,67.0
268,Audi A1,17777,28600.0,7.0,2.0,66.0
269,Audi A1,17820,59000.0,7.0,2.0,92.0
270,Audi A1,17770,10300.0,7.0,1.0,70.0
271,Audi A1,17700,24550.0,7.0,2.0,70.0
272,Audi A1,17700,26000.0,7.0,3.0,85.0
273,Audi A1,17700,40800.0,7.0,3.0,70.0
274,Audi A1,17700,24550.0,7.0,2.0,70.0
275,Audi A1,17660,7701.0,7.0,1.0,70.0
276,Audi A1,17650,19500.0,7.0,2.0,92.0
277,Audi A1,17650,45605.0,7.0,2.0,66.0
278,Audi A1,17530,45200.0,7.0,3.0,92.0
279,Audi A1,17500,22500.0,5.0,2.0,70.0
280,Audi A1,15420,44585.0,7.0,3.0,85.0
281,Audi A1,15250,32750.0,7.0,3.0,70.0
282,Audi A1,15250,61980.0,7.0,3.0,66.0
283,Audi A1,15190,37500.0,7.0,2.0,70.0
284,Audi A1,15200,49600.0,5.0,3.0,66.0
285,Audi A1,15180,76275.0,7.0,3.0,85.0
286,Audi A1,15380,46900.0,7.0,3.0,85.0
287,Audi A1,14250,10000.0,7.0,3.0,70.0
288,Audi A1,14450,49466.0,7.0,3.0,66.0
289,Audi A1,14470,48800.0,7.0,3.0,70.0
290,Audi A1,14350,94300.0,7.0,3.0,85.0
291,Audi A1,14210,18600.0,7.0,3.0,70.0
292,Audi A1,14300,67278.0,7.0,3.0,66.0
